date,open,high,low,close,volume
2025-06-02,200.64,201.37,200.05,200.78,90977787
2025-06-03,201.58,202.73,200.93,202.15,51195988
2025-06-04,201.12,201.97,200.43,201.02,54684182
2025-06-05,201.46,202.35,201.08,201.92,47383680
2025-06-06,203.7,204.18,203.28,203.36,47898765
2025-06-07,208.79,209.15,208.31,208.38,20538494
2025-06-08,210.26,210.42,209.04,209.38,18501629
2025-06-09,213.38,215.8,211.07,213.62,100783287
2025-06-10,209.43,211.04,207.68,208.78,68901919
2025-06-11,209.75,210.39,209.65,209.72,64416750
2025-06-12,206.29,207.13,205.12,206.92,47979265
2025-06-13,210.8,212.77,210.72,211.18,67919003
2025-06-14,215.0,218.3,210.83,214.52,22012809
2025-06-15,212.57,213.08,209.39,212.19,18100500
2025-06-16,210.1,210.6,208.97,210.21,74991138
2025-06-17,206.84,207.22,203.75,207.01,90852468
2025-06-18,206.67,206.68,206.5,206.61,57725134
2025-06-19,201.92,205.69,199.23,202.43,58983047
2025-06-20,199.38,199.52,197.22,199.23,55092519
2025-06-21,201.54,204.45,199.59,201.87,15382172
2025-06-22,201.73,202.64,201.56,202.25,23573080
2025-06-23,197.18,199.08,196.45,197.12,120179157
2025-06-24,198.5,198.56,198.11,198.45,52246963
2025-06-25,199.0,200.09,198.36,199.36,46779652
2025-06-26,200.11,202.12,199.23,200.99,46495423
2025-06-27,193.35,196.29,189.45,193.15,65171862
2025-06-28,199.81,200.86,199.67,199.74,29530098
2025-06-29,218.13,228.32,212.64,217.64,46228145
2025-06-30,213.26,213.28,211.66,213.25,97154947
2025-07-01,211.75,212.74,211.05,211.92,59369174
