date,open,high,low,close,volume
2025-07-01,211.56,214.23,210.4,211.99,9858727
2025-06-30,220.64,223.74,218.2,220.16,30085334
2025-06-29,227.91,232.26,224.11,228.55,42167999
2025-06-28,227.97,232.3,222.68,227.02,16188440
2025-06-27,234.06,236.37,233.88,233.92,7850266
2025-06-26,224.38,226.98,221.1,223.63,25409726
2025-06-25,217.4,220.96,217.28,217.4,14986209
2025-06-24,212.63,216.73,210.62,213.32,32236139
2025-06-23,209.21,209.97,208.4,208.49,5404425
2025-06-22,195.88,198.1,194.55,196.41,35039077
2025-06-21,190.66,193.28,189.61,190.97,47017604
2025-06-20,185.27,187.29,184.79,185.26,25215758
2025-06-19,181.81,184.7,178.2,182.47,7601553
2025-06-18,170.65,172.22,167.12,169.92,15986201
2025-06-17,158.66,161.76,156.28,158.61,31973383
2025-06-16,162.95,164.96,161.93,162.74,21208807
2025-06-15,164.06,166.26,162.83,164.86,32030874
2025-06-14,159.7,160.84,157.54,159.81,48167916
2025-06-13,154.99,157.33,152.45,155.64,13029157
2025-06-12,153.87,155.83,151.78,154.23,45698632
2025-06-11,144.46,146.61,143.69,144.97,44309527
2025-06-10,144.38,146.27,143.32,144.76,39583682
2025-06-09,141.11,143.95,139.15,141.21,16960370
2025-06-08,142.44,144.8,139.77,142.45,46908518
2025-06-07,140.48,143.19,138.44,140.0,4922660
2025-06-06,139.38,141.37,137.26,140.0,9823341
2025-06-05,145.15,145.94,144.03,144.51,42383035
2025-06-04,146.02,146.36,144.15,146.09,23281182
2025-06-03,139.74,141.82,138.62,140.0,12539083
2025-06-02,141.77,142.35,139.55,141.69,3905560
2025-06-01,140.14,141.87,139.16,140.0,21358355
2025-05-31,139.77,140.57,138.19,140.0,24081098
2025-05-30,140.29,141.34,138.9,140.0,6006064
2025-05-29,146.22,148.31,142.97,145.66,38045567
2025-05-28,143.49,145.66,141.63,144.02,2819847
2025-05-27,139.93,142.75,139.43,140.0,16471332
2025-05-26,139.84,142.14,137.22,140.0,10481470
2025-05-25,142.76,144.65,140.87,142.4,4818219
2025-05-24,146.85,150.41,146.53,147.53,8464634
2025-05-23,149.05,150.1,146.82,149.13,38969955
2025-05-22,145.28,147.86,144.02,144.81,30560428
2025-05-21,152.92,155.7,150.55,152.92,8468490
2025-05-20,149.74,152.1,149.68,150.03,15801345
2025-05-19,159.28,159.87,157.3,158.54,3530233
2025-05-18,164.15,166.51,162.4,163.81,41627147
2025-05-17,171.57,173.71,169.35,171.63,39756209
2025-05-16,178.91,182.09,177.1,178.95,38187402
2025-05-15,175.84,176.39,174.25,175.17,11115679
2025-05-14,181.51,183.14,181.12,181.85,30012406
2025-05-13,180.38,181.26,178.67,180.91,8563533
2025-05-12,186.48,188.57,184.96,186.74,26962681
2025-05-11,182.58,186.13,180.83,181.91,28519463
2025-05-10,195.02,196.3,190.82,194.55,27774511
2025-05-09,192.45,194.78,191.3,192.27,45829304
2025-05-08,191.73,196.06,191.33,192.37,14280268
2025-05-07,196.49,200.37,194.98,197.05,5143752
2025-05-06,189.24,191.22,185.48,189.83,13119748
2025-05-05,186.64,188.77,185.9,186.66,9731546
2025-05-04,199.09,201.86,198.14,199.95,10478309
2025-05-03,199.66,201.14,198.57,199.14,7879481
