date,open,high,low,close,volume
2025-05-03,482.87,486.28,480.48,483.6,9011903
2025-05-04,488.51,491.11,487.63,488.8,10983552
2025-05-05,483.37,484.47,479.88,482.45,28111933
2025-05-06,454.76,455.82,453.26,455.55,51007043
2025-05-07,442.8,445.92,440.9,442.95,21674846
2025-05-08,443.41,443.5,443.27,443.42,18556902
2025-05-09,453.4,454.0,448.8,452.86,28470214
2025-05-10,459.62,462.98,459.07,460.73,6474444
2025-05-11,468.05,477.27,468.01,468.74,11186595
2025-05-12,475.83,478.11,473.46,476.45,32785686
2025-05-13,474.16,475.28,471.66,472.78,25250359
2025-05-14,458.78,463.04,457.64,459.09,90159265
2025-05-15,454.19,455.72,453.93,454.27,21442916
2025-05-16,458.97,460.94,458.0,458.95,16249795
2025-05-17,451.32,451.77,450.08,450.95,9451007
2025-05-18,453.51,457.07,451.78,455.58,8300737
2025-05-19,456.6,457.58,455.09,457.06,37767864
2025-05-20,457.51,458.12,456.87,457.48,22083828
2025-05-21,461.13,462.06,460.94,461.77,32799115
2025-05-22,454.3,455.44,452.24,454.01,28690215
2025-05-23,453.57,453.84,453.26,453.59,22171679
2025-05-24,455.86,459.05,454.9,457.34,7796138
2025-05-25,467.64,472.95,461.62,467.19,10450794
2025-05-26,456.24,457.24,455.23,456.58,48224944
2025-05-27,444.73,445.65,434.5,444.41,40228431
2025-05-28,446.09,447.65,444.07,445.91,23438780
2025-05-29,462.94,483.38,455.87,463.72,36497793
2025-05-30,459.29,460.0,458.69,459.99,15266098
2025-05-31,454.04,455.16,450.71,453.31,10986208
2025-06-01,452.26,453.37,451.74,452.8,8777057
2025-06-02,454.58,454.62,452.82,452.84,37256206
2025-06-03,448.45,452.17,447.18,448.31,37230108
2025-06-04,439.01,441.93,437.68,439.18,22077088
2025-06-05,436.54,437.09,435.04,436.44,30825773
2025-06-06,431.97,433.18,424.59,431.13,20285813
2025-06-07,429.62,430.49,426.57,428.13,8420655
2025-06-08,423.52,424.86,420.16,423.44,7284462
2025-06-09,422.02,422.83,420.76,422.0,36675091
2025-06-10,418.47,418.48,417.02,417.81,26076876
2025-06-11,414.42,416.51,412.13,414.62,20621790
2025-06-12,414.43,415.74,414.16,415.19,25429418
2025-06-13,416.03,416.53,415.96,416.18,21074067
2025-06-14,416.32,418.42,414.89,417.35,6179683
2025-06-15,422.61,429.81,419.52,423.62,7541811
2025-06-16,425.55,426.61,424.64,425.53,38867774
2025-06-17,427.33,428.91,425.34,428.73,28318534
2025-06-18,433.46,435.68,431.9,433.4,24626245
2025-06-19,436.58,438.8,435.87,437.95,19523338
2025-06-20,439.92,440.2,438.52,439.29,22311570
2025-06-21,438.18,439.78,435.14,437.51,8341787
2025-06-22,441.24,442.18,439.43,440.86,8668852
2025-06-23,452.08,464.47,447.59,452.49,38943711
2025-06-24,443.5,447.41,438.9,443.44,52450352
2025-06-25,452.34,455.59,452.17,452.75,26276186
2025-06-26,445.71,451.42,439.08,446.21,21173900
2025-06-27,438.0,444.82,431.06,437.85,29866480
2025-06-28,461.01,470.82,459.46,461.36,10872642
2025-06-29,475.37,476.4,463.24,475.44,13108273
2025-06-30,477.76,479.86,475.74,477.51,28184316
2025-07-01,481.04,483.33,478.19,481.46,21727927
