date,open,high,low,close,volume
2025-07-01,554.12,564.47,548.47,555.26,29743852
2025-06-30,564.81,571.01,552.91,563.41,34754236
2025-06-29,537.37,544.67,533.72,539.0,5415645
2025-06-28,511.34,519.32,503.72,510.54,16249399
2025-06-27,492.64,499.81,484.03,493.28,48576998
2025-06-26,475.17,485.31,471.85,476.08,13358507
2025-06-25,485.9,494.5,480.58,484.4,25622054
2025-06-24,471.09,477.06,462.83,470.56,30976724
2025-06-23,492.8,497.82,484.54,490.6,33183296
2025-06-22,510.46,511.74,500.02,508.83,37794723
2025-06-21,504.0,514.09,500.21,506.0,44927171
2025-06-20,477.42,483.99,471.97,478.1,7223410
2025-06-19,480.71,482.44,472.17,481.63,37349400
2025-06-18,470.01,479.11,466.07,468.04,25037934
2025-06-17,468.55,474.82,460.96,470.38,20547460
2025-06-16,466.81,471.83,458.31,466.34,19298898
2025-06-15,451.35,459.37,445.43,453.21,38179752
2025-06-14,424.08,424.98,420.05,424.37,10387937
2025-06-13,426.28,432.66,421.93,426.85,26623743
2025-06-12,439.52,446.49,437.7,437.93,4043914
2025-06-11,432.1,441.25,424.18,433.89,14133278
2025-06-10,447.39,452.06,437.98,446.49,26867400
2025-06-09,430.04,437.64,428.42,429.8,6734233
2025-06-08,407.0,412.77,406.89,408.61,46345646
2025-06-07,398.74,405.28,391.55,396.87,42027339
2025-06-06,372.48,373.28,364.9,372.23,1428231
2025-06-05,360.78,368.3,360.5,361.49,43274876
2025-06-04,368.94,373.15,361.42,367.12,10819834
2025-06-03,364.14,371.15,361.97,363.9,33908264
2025-06-02,369.09,370.52,361.87,368.13,8070557
2025-06-01,377.34,382.15,372.93,378.01,19541304
2025-05-31,384.26,385.83,380.34,384.7,8273106
2025-05-30,388.11,395.62,385.94,386.4,40900084
2025-05-29,393.95,398.95,392.22,394.17,16089482
2025-05-28,391.92,400.7,386.58,393.5,47984952
2025-05-27,375.94,382.29,375.28,375.95,27798436
2025-05-26,388.7,391.3,383.89,390.01,17937132
2025-05-25,388.91,390.16,381.12,387.42,26713199
2025-05-24,397.94,404.61,392.59,399.17,2421431
2025-05-23,402.99,408.52,397.63,403.68,18391299
2025-05-22,402.54,408.58,400.68,401.44,46318042
2025-05-21,422.27,423.88,420.18,422.29,35596839
2025-05-20,415.36,418.61,406.78,414.62,21843700
2025-05-19,407.38,409.2,398.01,405.4,28449902
2025-05-18,425.9,426.43,420.06,425.77,5323214
2025-05-17,413.73,417.04,406.95,414.73,49000282
2025-05-16,434.8,442.44,427.97,433.73,5764376
2025-05-15,430.77,440.96,425.61,432.48,3920008
2025-05-14,441.72,447.05,440.84,441.3,19589913
2025-05-13,446.66,454.17,441.67,447.63,14992266
2025-05-12,471.13,475.87,465.55,471.21,17479258
2025-05-11,464.56,471.41,457.88,465.13,24487592
2025-05-10,471.93,475.57,467.69,471.29,22162973
2025-05-09,467.58,476.88,467.22,467.92,17223960
2025-05-08,461.56,463.22,461.36,462.92,14058832
2025-05-07,478.74,484.5,470.07,480.25,35925118
2025-05-06,468.79,476.01,466.36,468.99,17844488
2025-05-05,477.43,481.06,476.89,479.03,7040039
2025-05-04,482.48,482.91,477.65,481.15,3624677
2025-05-03,497.33,502.24,489.48,497.26,34339556
